SR,13040,COSC,381,0,M1,4,Software Engineering Solutions,MW,05:30 pm-07:10 pm,30,12,18,0,0,0,0,0,0,Matthew Evett (P),08/29-12/16,PRAY-H 520,
SR,14910,COSC,381,10,M1,4,Software Engineering Solutions,TR,09:00 am-10:50 am,30,24,6,0,0,0,0,0,0,Biswajit Panja (P),08/29-12/16,PORTER 300AD,
SR,13734,COSC,388L4,0,M1,3,Co-op Educ in Computer Science,,TBA,1,0,1,0,0,0,0,0,0,TBA,08/29-12/16,TBA,Gen Ed Lrng Beyond Clsrm
C,13136,COSC,423,0,OA1,4,Computer Operating Systems,,TBA,30,29,1,10,5,5,30,33,-3,Matthew Evett (P),08/29-12/16,ONLINE,
SR,14988,COSC,436,10,M1,4,Web Programming,TR,03:00 pm-04:50 pm,29,27,2,0,0,0,30,29,1,Suchindran Maniccam (P),08/29-12/16,PRAY-H 503,
SR,15054,COSC,439,10,M1,4,Computing Network Principles,MW,09:00 am-10:50 am,30,20,10,0,0,0,30,26,4,Elsa Poh (P),08/29-12/16,PRAY-H 514,
SR,14696,COSC,444,0,M1,4,Foundations of Automata and Languages,MW,01:00 pm-02:50 pm,30,26,4,0,0,0,30,28,2,William C Sverdlik (P),08/29-12/16,PRAY-H 401,
SR,14695,COSC,456,0,M1,4,Computer Graphics,MW,11:00 am-12:50 pm,30,23,7,0,0,0,30,27,3,Matthew Evett (P),08/29-12/16,PRAY-H 514,
C,12272,COSC,471,0,MA1,4,Database Principles,T,01:00 pm-02:50 pm,30,28,2,10,4,6,30,30,0,Krishnakumari Narayanan (P),08/29-12/16,SCIENC 171,
,,,,,,,,,TBA,,,,,,,,,,Krishnakumari Narayanan (P),08/29-12/16,ONLINE - - - -,
SR,14699,COSC,473,0,M1,4,Big Data II,MW,05:30 pm-07:10 pm,30,13,17,0,0,0,30,14,16,Andrii Kashliev (P),08/29-12/16,SCIENC 575,
C,12279,COSC,481W,0,M1,3,Software Engineering Project,TR,05:30 pm-07:10 pm,30,29,1,0,0,0,30,30,0,Biswajit Panja (P),08/29-12/16,PRAY-H 503,Writing Intensive
C,15056,COSC,481W,10,M1,3,Software Engineering Project,TR,09:00 am-10:50 am,30,28,2,15,0,15,30,30,0,Siyuan Jiang (P),08/29-12/16,ALEXAN 216,Writing Intensive
SR,15055,COSC,522,10,M5,3,CommNetworks & Distributed Sys,MW,09:00 am-10:50 am,30,6,24,0,0,0,30,26,4,Elsa Poh (P),08/29-12/16,PRAY-H 514,
C,14698,COSC,525,0,OA5,3,Computer Systems Principles,,TBA,30,4,26,0,0,0,30,33,-3,Matthew Evett (P),08/29-12/16,ONLINE,
SR,14989,COSC,540,10,M5,3,Web Technology,TR,03:00 pm-04:50 pm,29,2,27,0,0,0,30,29,1,Suchindran Maniccam (P),08/29-12/16,PRAY-H 503,
SR,14697,COSC,541,0,M5,3,"Automata,Comptblty&Formal Lang",MW,01:00 pm-02:50 pm,30,2,28,0,0,0,30,28,2,William C Sverdlik (P),08/29-12/16,PRAY-H 401,
SR,14694,COSC,556,0,M5,3,Adv Computer Graphics,MW,11:00 am-12:50 pm,30,4,26,0,0,0,30,27,3,Matthew Evett (P),08/29-12/16,PRAY-H 514,
C,12273,COSC,571,0,MA5,3,Database Mgmt Systems Dsgn,T,01:00 pm-02:50 pm,30,2,28,10,1,9,30,30,0,Krishnakumari Narayanan (P),08/29-12/16,SCIENC 171,
,,,,,,,,,TBA,,,,,,,,,,Krishnakumari Narayanan (P),08/29-12/16,ONLINE - - - -,
C,12280,COSC,581,0,M5,3,Software Design & Development,TR,05:30 pm-07:10 pm,30,1,29,0,0,0,30,30,0,Biswajit Panja (P),08/29-12/16,PRAY-H 503,
C,15057,COSC,581,10,M5,3,Software Design & Development,TR,09:00 am-10:50 am,30,2,28,15,0,15,30,30,0,Siyuan Jiang (P),08/29-12/16,ALEXAN 216,
SR,14700,COSC,592,0,M5,3,Big Data II,MW,05:30 pm-07:10 pm,30,1,29,0,0,0,30,14,16,Andrii Kashliev (P),08/29-12/16,SCIENC 575,
SR,12533,COSC,667,0,M5,3,Machine Learning and Data Mining,MW,05:30 pm-06:45 pm,30,5,25,0,0,0,0,0,0,William C Sverdlik (P),08/29-12/16,PRAY-H 401,
SR,12948,COSC,683,1,M5,3,Software Engineering Practicum,,TBA,2,0,2,0,0,0,0,0,0,Augustine Ikeji (P),08/29-12/16,TBA,
SR,15430,COSC,699,0,M5,3,CPU/GPU Parallel Programming,,TBA,5,1,4,0,0,0,0,0,0,TBA,08/29-12/16,TBA,
C,11687,STAT,360,0,MA1,3,Statistical Methods,W,02:00 pm-03:15 pm,30,30,0,0,0,0,0,0,0,Rita Chattopadhyay (P),08/29-12/16,PRAY-H 202,
,,,,,,,,,TBA,,,,,,,,,,Rita Chattopadhyay (P),08/29-12/16,ONLINE --- --,
C,11688,STAT,360,10,MA1,3,Statistical Methods,R,12:30 pm-01:45 pm,30,31,-1,0,0,0,0,0,0,Khairul Islam (P),08/29-12/16,PRAY-H 323,
,,,,,,,,,TBA,,,,,,,,,,Khairul Islam (P),08/29-12/16,ONLINE ----,
